"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"GeneralInjury"	"ReducedInjuryTypes"
"8016"	Jan 14, 2014	Missed 1 game (shoulder injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	shoulder injury	FALSE	1	0	1	11	2014	1	14	2014	3	shoulder	upper body
"1505"	Apr 17, 2014	Missed the last regular season game (upper body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	upper body injury	TRUE	2	0	4	13	2014	4	17	2014	4	upper body	upper body
"1999"	Apr 30, 2014	Missed the last 4 playoff games (torn left mcl).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	torn left mcl	TRUE	3	0	4	22	2014	4	30	2014	8	knee	leg
"5031"	Feb 08, 2015	Missed 2 games (hip injury).	TYSON	BARRIE	COLORADO	AVALANCHE	2	TRUE	hip injury	FALSE	4	0	2	05	2015	2	08	2015	3	hip	lower body
"7007"	Jan 02, 2016	Missed 1 game (flu).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	flu	FALSE	5	0	12	31	2015	1	02	2016	2	cold/virus	illness
"9425"	Jan 31, 2017	Missed 4 games (lower body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	6	0	1	19	2017	1	31	2017	12	lower body	lower body
"5393"	Feb 12, 2017	Missed 4 games (lower body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	4	TRUE	lower body injury	FALSE	7	0	2	04	2017	2	12	2017	8	lower body	lower body
"15423"	Nov 18, 2017	Missed 1 game (upper body injury).	TYSON	BARRIE	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	8	0	11	16	2017	11	18	2017	2	upper body	upper body
"9319"	Jan 30, 2018	Missed 13 games (right hand injury).	TYSON	BARRIE	COLORADO	AVALANCHE	13	TRUE	right hand injury	FALSE	9	0	12	27	2017	1	30	2018	34	hand	arm/hand
"1898"	Apr 27, 2013	Missed the last 12 regular season games (knee injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	12	TRUE	knee injury	TRUE	10	0	4	02	2013	4	27	2013	25	knee	leg
"1842"	Apr 25, 2015	Missed the last playoff game (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	0	TRUE	upper body injury	TRUE	12	0	4	23	2015	4	25	2015	2	upper body	upper body
"12599"	Mar 18, 2016	Missed 50 games (undisclosed).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	50	TRUE	undisclosed	FALSE	13	0	11	28	2015	3	18	2016	111	undisclosed	undisclosed
"13843"	May 12, 2016	Missed the last 60 regular season and all 14 playoff games (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	74	TRUE	upper body injury	TRUE	14	0	3	21	2016	5	12	2016	52	upper body	upper body
"14405"	Nov 04, 2017	Missed 2 games (upper body injury).	GABRIEL	BOURQUE	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	15	0	10	28	2017	11	04	2017	7	upper body	upper body
"1143"	Apr 12, 2009	Missed the last 3 games of the regular season (broken wrist).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	broken wrist	TRUE	16	0	4	12	2009	4	12	2009	0	wrist	arm/hand
"17059"	Oct 08, 2009	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	17	0	10	03	2009	10	08	2009	5	cold/virus	illness
"14992"	Nov 13, 2009	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	18	0	11	11	2009	11	13	2009	2	cold/virus	illness
"12054"	Mar 11, 2010	Missed 1 game (facial injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	facial injury	FALSE	19	0	3	09	2010	3	11	2010	2	face	head/neck/face
"1019"	Apr 11, 2010	Missed the last 3 regular season games (broken foot).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	broken foot	TRUE	20	0	4	08	2010	4	11	2010	3	foot	foot
"5420"	Feb 13, 2011	Missed 4 games (concussion).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	concussion	FALSE	21	0	2	05	2011	2	13	2011	8	concussion	concussion
"12217"	Mar 13, 2012	Missed 4 games (shoulder injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	shoulder injury	FALSE	22	0	3	04	2012	3	13	2012	9	shoulder	upper body
"9106"	Jan 27, 2014	Missed 8 games (sprained left knee).	BLAKE	COMEAU	COLORADO	AVALANCHE	8	TRUE	sprained left knee	FALSE	23	0	1	10	2014	1	27	2014	17	knee	leg
"11872"	Mar 08, 2014	Missed 10 games (sprained left knee).	BLAKE	COMEAU	COLORADO	AVALANCHE	10	TRUE	sprained left knee	FALSE	24	0	1	30	2014	3	08	2014	37	knee	leg
"15161"	Nov 15, 2014	Missed 1 game (illness).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	illness	FALSE	25	0	11	14	2014	11	15	2014	1	cold/virus	illness
"5293"	Feb 11, 2015	Missed 20 games (wrist injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	20	TRUE	wrist injury	FALSE	26	0	12	23	2014	2	11	2015	50	wrist	arm/hand
"15185"	Nov 15, 2016	Missed 4 games (groin).	BLAKE	COMEAU	COLORADO	AVALANCHE	4	TRUE	groin	FALSE	28	0	11	06	2016	11	15	2016	9	groin	lower body
"513"	Apr 06, 2017	Missed 1 game (leg injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	29	0	4	04	2017	4	06	2017	2	leg	leg
"5680"	Feb 16, 2018	Missed 3 games (upper body injury).	BLAKE	COMEAU	COLORADO	AVALANCHE	3	TRUE	upper body injury	FALSE	30	0	2	10	2018	2	16	2018	6	upper body	upper body
"14831"	Nov 10, 2017	Missed 6 games (broken thumb).	J.T.	COMPHER	COLORADO	AVALANCHE	6	TRUE	broken thumb	FALSE	31	0	10	20	2017	11	10	2017	21	finger	arm/hand
"8233"	Jan 16, 2018	Missed 6 games (upper body injury).	J.T.	COMPHER	COLORADO	AVALANCHE	6	TRUE	upper body injury	FALSE	32	0	12	31	2017	1	16	2018	16	upper body	upper body
"9318"	Jan 30, 2018	Missed 1 game (flu).	J.T.	COMPHER	COLORADO	AVALANCHE	1	TRUE	flu	FALSE	33	0	1	25	2018	1	30	2018	5	cold/virus	illness
"13394"	Mar 29, 2015	Missed 1 game (lower body injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	34	0	3	28	2015	3	29	2015	1	lower body	lower body
"17443"	Oct 14, 2015	Missed 3 games (groin).	ANDREW	HAMMOND	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	35	0	10	06	2015	10	14	2015	8	groin	lower body
"2887"	Dec 10, 2015	Missed 11 games (head injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	11	TRUE	head injury	FALSE	36	0	11	16	2015	12	10	2015	24	head	head/neck/face
"15189"	Nov 15, 2016	Missed 8 games (groin).	ANDREW	HAMMOND	COLORADO	AVALANCHE	8	TRUE	groin	FALSE	38	0	10	29	2016	11	15	2016	17	groin	lower body
"9046"	Jan 26, 2017	Missed 14 games (ankle injury).	ANDREW	HAMMOND	COLORADO	AVALANCHE	14	TRUE	ankle injury	FALSE	39	0	12	20	2016	1	26	2017	37	ankle	foot
"17646"	Oct 17, 2017	Missed 2 games (knee injury).	TYSON	JOST	COLORADO	AVALANCHE	2	TRUE	knee injury	FALSE	40	0	10	13	2017	10	17	2017	4	knee	leg
"15274"	Nov 16, 2017	Missed 8 games (lower body injury).	TYSON	JOST	COLORADO	AVALANCHE	8	TRUE	lower body injury	FALSE	41	0	10	20	2017	11	16	2017	27	lower body	lower body
"8592"	Jan 20, 2018	Missed 1 game (leg injury).	TYSON	JOST	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	42	0	1	17	2018	1	20	2018	3	leg	leg
"3522"	Dec 18, 2017	Missed 3 games (leg injury).	ALEXANDER	KERFOOT	COLORADO	AVALANCHE	3	TRUE	leg injury	FALSE	43	0	12	12	2017	12	18	2017	6	leg	leg
"6151"	Feb 23, 2013	Missed 11 games (head injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	11	TRUE	head injury	FALSE	44	0	1	28	2013	2	23	2013	26	head	head/neck/face
"12999"	Mar 24, 2013	Missed 1 game (torso injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	1	TRUE	torso injury	FALSE	45	0	3	23	2013	3	24	2013	1	upper body	upper body
"17076"	Oct 08, 2013	Missed 1 game (leg injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	1	TRUE	leg injury	FALSE	46	0	10	04	2013	10	08	2013	4	leg	leg
"3102"	Dec 13, 2015	Missed 2 games (back injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	2	TRUE	back injury	FALSE	47	0	12	09	2015	12	13	2015	4	back	mid body
"2892"	Dec 10, 2016	Missed 10 games (lower body injury).	GABRIEL	LANDESKOG	COLORADO	AVALANCHE	10	TRUE	lower body injury	FALSE	48	0	11	17	2016	12	10	2016	23	lower body	lower body
"514"	Apr 06, 2017	Missed 1 game (lower body injury).	ANTON	LINDHOLM	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	49	0	4	04	2017	4	06	2017	2	lower body	lower body
"16203"	Nov 28, 2017	Missed 9 games (broken jaw).	ANTON	LINDHOLM	COLORADO	AVALANCHE	9	TRUE	broken jaw	FALSE	50	0	11	05	2017	11	28	2017	23	hand	arm/hand
"11422"	Mar 02, 2018	Missed 5 games (upper body injury).	ANTON	LINDHOLM	COLORADO	AVALANCHE	5	TRUE	upper body injury	FALSE	51	0	2	20	2018	3	02	2018	10	upper body	upper body
"1080"	Apr 11, 2015	Missed the last 18 regular season games (fractured foot).	NATHAN	MACKINNON	COLORADO	AVALANCHE	18	TRUE	fractured foot	TRUE	52	0	3	06	2015	4	11	2015	36	foot	foot
"792"	Apr 09, 2016	Missed 10 games (knee injury).	NATHAN	MACKINNON	COLORADO	AVALANCHE	10	TRUE	knee injury	FALSE	53	0	3	19	2016	4	09	2016	21	knee	leg
"5758"	Feb 17, 2018	Missed 8 games (upper body injury).	NATHAN	MACKINNON	COLORADO	AVALANCHE	8	TRUE	upper body injury	FALSE	54	0	2	01	2018	2	17	2018	16	upper body	upper body
"1919"	Apr 27, 2014	Missed the last playoff game (upper body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	0	TRUE	upper body injury	TRUE	55	0	4	25	2014	4	27	2014	2	upper body	upper body
"11475"	Mar 03, 2015	Missed 58 games (arm injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	58	TRUE	arm injury	FALSE	56	0	10	20	2014	3	03	2015	134	arm	arm/hand
"17757"	Oct 19, 2017	Missed 1 game (shoulder injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	1	TRUE	shoulder injury	FALSE	57	0	10	17	2017	10	19	2017	2	shoulder	upper body
"18322"	Oct 27, 2017	Missed 1 game (lower body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	58	0	10	20	2017	10	27	2017	7	lower body	lower body
"2672"	Dec 07, 2017	Missed 12 games (lower body injury).	PATRIK	NEMETH	COLORADO	AVALANCHE	12	TRUE	lower body injury	FALSE	59	0	11	10	2017	12	07	2017	27	lower body	lower body
"14208"	Nov 02, 2013	Missed 2 games (hand injury).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	hand injury	FALSE	60	0	10	27	2013	11	02	2013	6	hand	arm/hand
"6666"	Feb 27, 2014	Missed 1 game (bruised foot).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	bruised foot	FALSE	61	0	2	06	2014	2	27	2014	21	foot	foot
"4343"	Dec 30, 2014	Missed 9 games (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	9	TRUE	lower body injury	FALSE	62	0	12	06	2014	12	30	2014	24	lower body	lower body
"15918"	Nov 25, 2015	Missed 1 game (undisclosed).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	undisclosed	FALSE	63	0	11	22	2015	11	25	2015	3	undisclosed	undisclosed
"3266"	Dec 15, 2015	Missed 2 games (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	64	0	12	09	2015	12	15	2015	6	lower body	lower body
"1194"	Apr 12, 2016	Missed the last 12 regular season games (broken knuckle).	MATT	NIETO	COLORADO	AVALANCHE	12	TRUE	broken knuckle	TRUE	65	0	3	19	2016	4	12	2016	24	finger	arm/hand
"14088"	May 30, 2016	Missed the last 7 playoff games (upper body injury).	MATT	NIETO	COLORADO	AVALANCHE	7	TRUE	upper body injury	TRUE	66	0	5	12	2016	5	30	2016	18	upper body	upper body
"12606"	Mar 18, 2017	Missed 1 game (knee injury).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	knee injury	FALSE	67	0	3	15	2017	3	18	2017	3	knee	leg
"14827"	Nov 10, 2017	Missed 2 games (undisclosed).	MATT	NIETO	COLORADO	AVALANCHE	2	TRUE	undisclosed	FALSE	68	0	11	04	2017	11	10	2017	6	undisclosed	undisclosed
"4533"	Feb 01, 2018	Missed 1 game (lower body injury).	MATT	NIETO	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	69	0	1	30	2018	2	01	2018	2	lower body	lower body
"711"	Apr 08, 2017	Missed 2 games (lower body injury).	MIKKO	RANTANEN	COLORADO	AVALANCHE	2	TRUE	lower body injury	FALSE	70	0	4	4	2017	4	08	2017	4	lower body	lower body
"5061"	Feb 08, 2018	Missed 1 game (lower body injury).	MIKKO	RANTANEN	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	71	0	2	06	2018	2	08	2018	2	lower body	lower body
"17730"	Oct 19, 2013	Missed 6 games (ankle injury).	CARL	SODERBERG	COLORADO	AVALANCHE	6	TRUE	ankle injury	FALSE	72	0	10	01	2013	10	19	2013	18	ankle	foot
"6977"	Jan 02, 2014	Missed 2 games (upper body injury).	CARL	SODERBERG	COLORADO	AVALANCHE	2	TRUE	upper body injury	FALSE	73	0	12	28	2013	1	02	2014	5	upper body	upper body
"4213"	Dec 29, 2009	Missed 9 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	9	TRUE	groin	FALSE	76	0	12	09	2009	12	29	2009	20	groin	lower body
"17550"	Oct 16, 2010	Missed 4 games (undisclosed).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	4	TRUE	undisclosed	FALSE	77	0	10	06	2010	10	16	2010	10	undisclosed	undisclosed
"14775"	Nov 10, 2010	Missed 13 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	13	TRUE	groin	FALSE	78	0	10	23	2010	11	10	2010	18	groin	lower body
"8697"	Jan 22, 2011	Missed 1 game (lower body injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	lower body injury	FALSE	79	0	1	20	2011	1	22	2011	2	lower body	lower body
"12855"	Mar 22, 2011	Missed 11 games (knee injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	11	TRUE	knee injury	FALSE	80	0	2	26	2011	3	22	2011	24	knee	leg
"1373"	Apr 15, 2013	Missed 3 games (hip injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	hip injury	FALSE	81	0	4	10	2013	4	15	2013	5	hip	lower body
"18092"	Oct 24, 2014	Missed 3 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	82	0	10	16	2014	10	24	2014	8	groin	lower body
"2294"	Dec 02, 2014	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	83	0	11	18	2014	12	02	2014	14	groin	lower body
"3879"	Dec 23, 2014	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	84	0	12	09	2014	12	23	2014	14	groin	lower body
"12162"	Mar 12, 2015	Missed 1 game (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	groin	FALSE	85	0	3	10	2015	3	12	2015	2	groin	lower body
"15705"	Nov 22, 2015	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	86	0	11	11	2015	11	22	2015	11	groin	lower body
"16259"	Nov 29, 2016	Missed 1 game (upper body injury).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	1	TRUE	upper body injury	FALSE	88	0	11	25	2016	11	29	2016	4	upper body	upper body
"3686"	Dec 20, 2016	Missed 3 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	89	0	12	13	2016	12	20	2016	7	groin	lower body
"7234"	Jan 05, 2017	Missed 6 games (groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	6	TRUE	groin	FALSE	90	0	12	23	2016	1	05	2017	13	groin	lower body
"891"	Apr 09, 2017	Missed the last 40 regular season games (hip surgery).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	40	TRUE	hip surgery	TRUE	91	0	1	18	2017	4	09	2017	81	hip	lower body
"16276"	Nov 29, 2017	Missed 3 games (illness).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	3	TRUE	illness	FALSE	92	0	11	22	2017	11	29	2017	7	cold/virus	illness
"4536"	Feb 01, 2018	Missed 10 games (strained groin).	SEMYON	VARLAMOV	COLORADO	AVALANCHE	10	TRUE	strained groin	FALSE	93	0	1	03	2018	2	01	2018	29	groin	lower body
"17317"	Oct 12, 2009	Missed 3 games (groin).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	94	0	9	30	2009	10	12	2009	12	groin	lower body
"7381"	Jan 07, 2012	Missed 3 games (upper body injury).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	upper body injury	FALSE	95	0	1	7	2012	1	07	2012	0	upper body	upper body
"13224"	Mar 27, 2012	Missed 3 games (groin).	COLIN	WILSON	COLORADO	AVALANCHE	3	TRUE	groin	FALSE	96	0	3	22	2012	3	27	2012	5	groin	lower body
