"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"year"	"month"	"day"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.day"	"injend.year"	"injend.month"	"DaysMissed"	"InjuryEndDate"	"InjuryStartDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"
"1"	Nov 15, 2016	Missed 2 games (hand injury).	MATTHEW	TKACHUK	CALGARY	FLAMES	2	TRUE	hand injury	FALSE	1	0	2016	11	15	11	10	2016	15	2016	11	5	1479211200	1478779200	hand	arm/hand	MATTHEW TKACHUK	0	NA
"2"	Dec 22, 2014	Missed 1 game (upper body injury).	MICHAEL	STONE	CALGARY	FLAMES	1	TRUE	upper body injury	FALSE	2	0	2014	12	22	12	19	2014	22	2014	12	3	1419249600	1418990400	upper body	upper body	MICHAEL STONE	0	462
"3"	Apr 09, 2016	Missed the last 7 regular season games (knee injury).	MICHAEL	STONE	CALGARY	FLAMES	7	TRUE	knee injury	TRUE	3	0	2016	4	09	3	28	2016	09	2016	4	12	1460203200	1459166400	knee	leg	MICHAEL STONE	1	185
"4"	Oct 21, 2016	Missed 3 games (knee injury).	MICHAEL	STONE	CALGARY	FLAMES	3	TRUE	knee injury	FALSE	4	0	2016	10	21	10	11	2016	21	2016	10	10	1477051200	1476187200	knee	leg	MICHAEL STONE	1	17
"5"	Nov 12, 2016	Missed 6 games (upper body injury).	MICHAEL	STONE	CALGARY	FLAMES	6	TRUE	upper body injury	FALSE	5	0	2016	11	12	11	07	2016	12	2016	11	5	1478952000	1478520000	upper body	upper body	MICHAEL STONE	1	118
"6"	Mar 17, 2017	Missed 3 games (upper body injury).	MICHAEL	STONE	CALGARY	FLAMES	3	TRUE	upper body injury	FALSE	6	0	2017	3	17	3	10	2017	17	2017	3	7	1489752000	1489147200	upper body	upper body	MICHAEL STONE	1	NA
"7"	Mar 27, 2009	Missed 3 games (head injury).	CHRIS	STEWART	CALGARY	FLAMES	3	TRUE	head injury	FALSE	7	0	2009	3	27	3	22	2009	27	2009	3	5	1238155200	1237723200	head	head/neck/face	CHRIS STEWART	0	613
"8"	Jan 14, 2011	Missed 21 games (broken left hand).	CHRIS	STEWART	CALGARY	FLAMES	21	TRUE	broken left hand	FALSE	8	0	2011	1	14	11	30	2010	14	2011	1	45	1295006400	1291118400	hand	arm/hand	CHRIS STEWART	1	1148
"9"	Apr 08, 2014	Missed 16 games (ankle injury).	CHRIS	STEWART	CALGARY	FLAMES	16	TRUE	ankle injury	FALSE	9	0	2014	4	08	3	07	2014	08	2014	4	32	1396958400	1394193600	ankle	foot	CHRIS STEWART	1	280
"10"	Jan 14, 2015	Missed 1 game (flu).	CHRIS	STEWART	CALGARY	FLAMES	1	TRUE	flu	FALSE	10	0	2015	1	14	1	13	2015	14	2015	1	1	1421236800	1421150400	cold/virus	illness	CHRIS STEWART	1	111
"11"	May 07, 2015	Missed the last 2 playoff games (arm injury).	CHRIS	STEWART	CALGARY	FLAMES	2	TRUE	arm injury	TRUE	11	0	2015	5	07	5	05	2015	07	2015	5	2	1.431e+09	1430827200	arm	arm/hand	CHRIS STEWART	1	281
"12"	Mar 24, 2016	Missed 19 games (jaw injury).	CHRIS	STEWART	CALGARY	FLAMES	19	TRUE	jaw injury	FALSE	12	0	2016	3	24	2	12	2016	24	2016	3	41	1458820800	1455278400	mouth	mouth	CHRIS STEWART	1	376
"13"	Apr 08, 2017	Missed 2 games (illness).	CHRIS	STEWART	CALGARY	FLAMES	2	TRUE	illness	FALSE	13	0	2017	4	08	4	04	2017	08	2017	4	4	1491652800	1491307200	cold/virus	illness	CHRIS STEWART	1	NA
"14"	Jan 08, 2009	Missed 5 games (eye injury).	MATT	STAJAN	CALGARY	FLAMES	5	TRUE	eye injury	FALSE	14	0	2009	1	08	12	28	2008	08	2009	1	11	1231416000	1230465600	eye	head/neck/face	MATT STAJAN	0	623
"15"	Oct 14, 2010	Missed 2 games (shoulder injury).	MATT	STAJAN	CALGARY	FLAMES	2	TRUE	shoulder injury	FALSE	15	0	2010	10	14	9	23	2010	14	2010	10	21	1287057600	1285243200	shoulder	upper body	MATT STAJAN	1	41
"16"	Nov 27, 2010	Missed 2 games (upper body injury).	MATT	STAJAN	CALGARY	FLAMES	2	TRUE	upper body injury	FALSE	16	0	2010	11	27	11	24	2010	27	2010	11	3	1290859200	1290600000	upper body	upper body	MATT STAJAN	1	387
"17"	Jan 19, 2012	Missed 14 games (ankle injury).	MATT	STAJAN	CALGARY	FLAMES	14	TRUE	ankle injury	FALSE	17	0	2012	1	19	12	19	2011	19	2012	1	31	1326974400	1324296000	ankle	foot	MATT STAJAN	1	447
"18"	Apr 17, 2013	Missed 4 games (upper body injury).	MATT	STAJAN	CALGARY	FLAMES	4	TRUE	upper body injury	FALSE	18	0	2013	4	17	4	10	2013	17	2013	4	7	1366200000	1365595200	upper body	upper body	MATT STAJAN	1	175
"19"	Oct 24, 2013	Missed 8 games (leg injury).	MATT	STAJAN	CALGARY	FLAMES	8	TRUE	leg injury	FALSE	19	0	2013	10	24	10	09	2013	24	2013	10	15	1382616000	1381320000	leg	leg	MATT STAJAN	1	130
"20"	Mar 18, 2014	Missed 8 games (personal reasons).	MATT	STAJAN	CALGARY	FLAMES	8	TRUE	personal reasons	FALSE	20	0	2014	3	18	3	03	2014	18	2014	3	15	1395144000	1393848000	personal	other	MATT STAJAN	1	16
"21"	Apr 09, 2014	Missed 3 games (personal reasons).	MATT	STAJAN	CALGARY	FLAMES	3	TRUE	personal reasons	FALSE	21	0	2014	4	09	4	03	2014	09	2014	4	6	1397044800	1396526400	personal	other	MATT STAJAN	1	203
"22"	Dec 06, 2014	Missed 16 games (strained right knee).	MATT	STAJAN	CALGARY	FLAMES	16	TRUE	strained right knee	FALSE	22	0	2014	12	06	10	29	2014	06	2014	12	38	1417867200	1414584000	knee	leg	MATT STAJAN	1	80
"23"	Mar 05, 2015	Missed 4 games (personal reasons).	MATT	STAJAN	CALGARY	FLAMES	4	TRUE	personal reasons	FALSE	23	0	2015	3	05	2	24	2015	05	2015	3	9	1425556800	1424779200	personal	other	MATT STAJAN	1	347
"24"	Feb 17, 2016	Missed 1 game (undisclosed).	MATT	STAJAN	CALGARY	FLAMES	1	TRUE	undisclosed	FALSE	24	0	2016	2	17	2	15	2016	17	2016	2	2	1455710400	1455537600	undisclosed	undisclosed	MATT STAJAN	1	NA
"25"	Mar 29, 2017	Missed 11 games (upper body injury).	NICK	SHORE	CALGARY	FLAMES	11	TRUE	upper body injury	FALSE	25	0	2017	3	29	3	04	2017	29	2017	3	25	1490788800	1488628800	upper body	upper body	NICK SHORE	0	211
"26"	Nov 02, 2017	Missed 3 games (undisclosed).	NICK	SHORE	CALGARY	FLAMES	3	TRUE	undisclosed	FALSE	26	0	2017	11	02	10	26	2017	02	2017	11	7	1509624000	1509019200	undisclosed	undisclosed	NICK SHORE	1	83
