"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"InjuryStartDate"	"InjuryEndDate"	"GeneralInjury"	"ReducedInjuryTypes"	"FirstLast"	"PreviouslyInjured"	"HealthyDuration"	"year"	"month"	"day"
"1"	Apr 01, 2007	Missed 11 games (groin).	BRIAN	GIONTA	BOSTON	BRUINS	11	TRUE	groin	FALSE	543	0	3	08	2007	4	01	2007	24	1173355200	1175428800	groin	lower body	BRIAN GIONTA	1	4	NA	NA	NA
"2"	Apr 01, 2008	Missed 43 games (torn ACL).	JUSTIN	WILLIAMS	CAROLINA	HURRICANES	43	TRUE	torn ACL	FALSE	1532	0	12	21	2007	4	01	2008	102	1198238400	1207051200	knee	leg	JUSTIN WILLIAMS	1	1	NA	NA	NA
"3"	Apr 01, 2010	Missed 1 game (knee injury).	JAMES	VAN RIEMSDYK	TORONTO	MAPLELEAFS	1	TRUE	knee injury	FALSE	2366	0	3	28	2010	4	01	2010	4	1269777600	1270123200	knee	leg	JAMES VAN RIEMSDYK	1	297	NA	NA	NA
"4"	Apr 01, 2011	Missed 10 games (ankle injury).	ALEXANDER	STEEN	ST. LOUIS	BLUES	10	TRUE	ankle injury	FALSE	437	0	3	10	2011	4	01	2011	22	1299758400	1301659200	ankle	foot	ALEXANDER STEEN	1	273	NA	NA	NA
"5"	Apr 01, 2012	Missed 1 game (upper body injury).	MARCO	SCANDELLA	BUFFALO	SABRES	1	TRUE	upper body injury	FALSE	3371	0	3	31	2012	4	01	2012	1	1333195200	1333281600	upper body	upper body	MARCO SCANDELLA	1	675	NA	NA	NA
"6"	Apr 01, 2012	Missed 2 games (leg injury).	DENNIS	SEIDENBERG	NEW YORK	ISLANDERS	2	TRUE	leg injury	FALSE	1686	0	3	29	2012	4	01	2012	3	1333022400	1333281600	leg	leg	DENNIS SEIDENBERG	1	295	NA	NA	NA
"7"	Apr 01, 2012	Missed 3 games (lower body injury).	KRIS	LETANG	PITTSBURGH	PENGUINS	3	TRUE	lower body injury	FALSE	2724	0	3	27	2012	4	01	2012	5	1332849600	1333281600	lower body	lower body	KRIS LETANG	1	312	NA	NA	NA
"8"	Apr 01, 2014	Missed 1 game (flu).	JASON	DEMERS	ARIZONA	COYOTES	1	TRUE	flu	FALSE	990	0	3	29	2014	4	01	2014	3	1396094400	1396353600	cold/virus	illness	JASON DEMERS	1	343	NA	NA	NA
"9"	Apr 01, 2015	Missed 15 games (right finger injury).	BRETT	CONNOLLY	WASHINGTON	CAPITALS	15	TRUE	right finger injury	FALSE	890	0	3	04	2015	4	01	2015	28	1425470400	1427889600	finger	arm/hand	BRETT CONNOLLY	1	365	NA	NA	NA
"10"	Apr 01, 2015	Missed 2 games (upper body injury).	TYLER	ENNIS	MINNESOTA	WILD	2	TRUE	upper body injury	FALSE	3897	0	3	28	2015	4	01	2015	4	1427544000	1427889600	upper body	upper body	TYLER ENNIS	1	211	NA	NA	NA
"11"	Apr 01, 2015	Missed 7 games (lower body injury).	NATE	PROSSER	MINNESOTA	WILD	7	TRUE	lower body injury	FALSE	3961	0	3	17	2015	4	01	2015	15	1426593600	1427889600	lower body	lower body	NATE PROSSER	1	220	NA	NA	NA
"12"	Apr 01, 2016	Missed 1 game (undisclosed).	JOSH	MANSON	ANAHEIM	DUCKS	1	TRUE	undisclosed	FALSE	1197	0	3	30	2016	4	01	2016	2	1459339200	1459512000	undisclosed	undisclosed	JOSH MANSON	1	16	NA	NA	NA
"13"	Apr 01, 2016	Missed 1 game (undisclosed).	RYAN	SPOONER	NEW YORK	RANGERS	1	TRUE	undisclosed	FALSE	3015	0	3	28	2016	4	01	2016	4	1459166400	1459512000	undisclosed	undisclosed	RYAN SPOONER	1	340	NA	NA	NA
"14"	Apr 01, 2016	Missed 1 game (upper body injury).	THOMAS	VANEK	COLUMBUS	BLUEJACKETS	1	TRUE	upper body injury	FALSE	322	0	3	31	2016	4	01	2016	1	1459425600	1459512000	upper body	upper body	THOMAS VANEK	1	2	NA	NA	NA
